"","Var1","Freq"
"130","Lampa",128
"131","Lampa Dosa",1
"132","Lampa Loong",14
"133","Lampa Mira",61
"134","Lampa Pello",2
"135","Lampa Sirah Mira",11
"136","Lampa Ungko Mira",1
"137","Lamudo",1
"138","Langkoe",6
"139","Langoang",70
"140","Lansura",21
"141","Lausu",100
"142","Lausu Kutu",1
"143","Lausu Langkau Boa",2
"144","Lausu Tubbal Boa",2
"145","Leppe Kuneh Boa",2
"146","Luppe",48
"147","Luppe Bitikan",1
"148","Luppe Bitti",2
"149","Luppe Hias",1
"150","Luppe Kunih",11
"151","Luppe Sirah",6
"152","Luppe Tubbal Boa",6
"153","Malelah",72
"154","Mangali",1
"155","Mangilala",1072
"156","Mangilala Kuneh",51
"157","Mogoh",170
"158","Mogoh Angke",19
"159","Mogoh Bataan",105
"160","Mogoh Batu",9
"161","Mogoh Birrah",46
"162","Mogoh Birro",2
"163","Mogoh Borra",27
"164","Mogoh Coklat",81
"165","Mogoh Hangilo",5
"166","Mogoh Hanyulu",15
"167","Mogoh Hijau",13
"168","Mogoh Kunih",12
"169","Mogoh Loong",94
"170","Mogoh Mira",11
"171","Mogoh Mondo",224
"172","Mogoh Mondo Bitte",1
"173","Mogoh Nyulloh",488
"174","Mogoh Pote",1
"175","Mogoh Sirah Pote",3
"176","Opa",8
"177","Palugandah",19
"178","Pangaluang",52
"179","Papalo",25
"180","Pello",6
"181","Pello Gusoh",2
"182","Pello Koncang",1
"183","Pello Lampa",2
"184","Pello Langkau Boa",3
"185","Pello Mira",1
"186","Pello Nyuluh",2
"187","Pello Pungsu",8
"188","Pello Sirah",5
"189","Pello Sirah Pote",6
"190","Pello Sirip Kunih",2
"191","Pepedo",4
"192","Pesari",2
"193","Pilangan",11
"194","Pipili",72
"195","Pogo",28
"196","Pogo Epe",2
"197","Pogo Hitam",1
"198","Pogo Karupu",3
"199","Pogo Loong",30
"200","Pogo Mayor",12
"201","Pogo Mira",5
"202","Pogo Ngisirah",9
"203","Pogo Pote",24
"204","Pogo Punsu",2
"205","Pogo Sirah",4
"206","Pogo Tarusan",27
"207","Popogo",1
"208","Rambeng",48
"209","Rambeng Ungko Kuneh",5
"210","Ruruma",32
"211","Sampeh Lea",4
"212","Sasageh",24
"213","Sasageh Kuneh",1
"214","Sualalah",94
"215","Sulai Asah",10
"216","Sulaiasah Zebra",1
"217","Sumpa",29
"218","Sumpa Bannah",8
"219","Sumpah Lelah",3
"220","Sunu",24
"221","Sunu Balia",1
"222","Sunu Cambah",88
"223","Sunu Cambah Loong",7
"224","Sunu Coklat",7
"225","Sunu Hitam",1
"226","Sunu Loong",51
"227","Sunu Mira",36
"228","Sunu Tallah",16
"229","Taboh",5
"230","Taburoh",185
"231","Talunsu",1
"232","Tambiro",111
"233","Tambiro Alus",1
"234","Tape",6
"235","Tarigongoh",9
"236","Taringan",71
"237","Taringan Loong",2
"238","Tatape",25
"239","Tatape Bulan",1
"240","Tatape Buna",113
"241","Tatape Dodoh",5
"242","Tatape Kuneh",1
"243","Tatape Sirah",1
"244","Tatatape",1
"245","Tibbo",41
"246","Tibo Pote",1
"247","Timbaloah",23
"248","Timbungan",916
"249","Timbungan Garas",2
"250","Timbungan Janggutan",9
"251","Timbungan Mira",2
"252","Timbungan Rambayan",5
"253","Timbungan Sanio",6
"254","Timbungan Sirah",3
"255","Tintah",540
"256","Tintah Tarusan",20
"257","Tittingan",1
"258","Tomiga",3
"259","Tonggol",7
"260","Totoke",78
"261","Tubbal Boa",1
"262","Tuna Bambulo",2
"263","Turisan",9
"264","Ulapai",632
"265","Ulapai Bataan",6
"266","Ulapai Coklat",1
"267","Ulapai Mira",1
"268","Ulapai Patoh",11
"269","Ururuh",3
