"","Var1","Freq"
"131","Lampa Loong",14
"132","Lampa Mira",61
"133","Lampa Pello",2
"134","Lampa Sirah Mira",11
"135","Lampa Ungko Mira",1
"136","Lamudo",1
"137","Langkoe",6
"138","Langoang",70
"139","Lansura",21
"140","Lausu",100
"141","Lausu Kutu",1
"142","Lausu Langkau Boa",2
"143","Lausu Tubbal Boa",2
"144","Leppe Kuneh Boa",2
"145","Luppe",48
"146","Luppe Bitikan",1
"147","Luppe Bitti",2
"148","Luppe Hias",1
"149","Luppe Kunih",11
"150","Luppe Sirah",6
"151","Luppe Tubbal Boa",6
"152","Malelah",72
"153","Mangali",1
"154","Mangilala",1072
"155","Mangilala Kuneh",51
"156","Mogoh",170
"157","Mogoh Angke",19
"158","Mogoh Bataan",105
"159","Mogoh Batu",9
"160","Mogoh Birrah",75
"161","Mogoh Coklat",81
"162","Mogoh Hangilo",5
"163","Mogoh Hanyulu",15
"164","Mogoh Hijau",13
"165","Mogoh Kunih",12
"166","Mogoh Loong",94
"167","Mogoh Mira",11
"168","Mogoh Mondo",224
"169","Mogoh Mondo Bitte",1
"170","Mogoh Nyulloh",488
"171","Mogoh Pote",1
"172","Mogoh Sirah Pote",3
"173","Opa",8
"174","Palugandah",19
"175","Pangaluang",52
"176","Papalo",25
"177","Pello",6
"178","Pello Gusoh",2
"179","Pello Koncang",1
"180","Pello Lampa",2
"181","Pello Langkau Boa",3
"182","Pello Mira",1
"183","Pello Nyuluh",2
"184","Pello Pungsu",8
"185","Pello Sirah",5
"186","Pello Sirah Pote",6
"187","Pello Sirip Kunih",2
"188","Pepedo",4
"189","Pesari",2
"190","Pilangan",11
"191","Pipili",72
"192","Pogo",28
"193","Pogo Epe",2
"194","Pogo Hitam",1
"195","Pogo Karupu",3
"196","Pogo Loong",30
"197","Pogo Mayor",12
"198","Pogo Mira",5
"199","Pogo Ngisirah",9
"200","Pogo Pote",24
"201","Pogo Punsu",2
"202","Pogo Sirah",4
"203","Pogo Tarusan",27
"204","Popogo",1
"205","Rambeng",48
"206","Rambeng Ungko Kuneh",5
"207","Ruruma",32
"208","Sampeh Lea",4
"209","Sasageh",24
"210","Sasageh Kuneh",1
"211","Sualalah",94
"212","Sulai Asah",10
"213","Sulaiasah Zebra",1
"214","Sumpa",29
"215","Sumpa Bannah",8
"216","Sumpah Lelah",3
"217","Sunu",24
"218","Sunu Balia",1
"219","Sunu Cambah",88
"220","Sunu Cambah Loong",7
"221","Sunu Coklat",7
"222","Sunu Hitam",1
"223","Sunu Loong",51
"224","Sunu Mira",36
"225","Sunu Tallah",16
"226","Taboh",5
"227","Taburoh",185
"228","Talunsu",1
"229","Tambiro",111
"230","Tambiro Alus",1
"231","Tape",6
"232","Tarigongoh",9
"233","Taringan",71
"234","Taringan Loong",2
"235","Tatape",25
"236","Tatape Bulan",1
"237","Tatape Buna",113
"238","Tatape Dodoh",5
"239","Tatape Kuneh",1
"240","Tatape Sirah",1
"241","Tatatape",1
"242","Tibbo",41
"243","Tibo Pote",1
"244","Timbaloah",23
"245","Timbungan",916
"246","Timbungan Garas",2
"247","Timbungan Janggutan",9
"248","Timbungan Mira",2
"249","Timbungan Rambayan",5
"250","Timbungan Sanio",6
"251","Timbungan Sirah",3
"252","Tintah",540
"253","Tintah Tarusan",20
"254","Tittingan",1
"255","Tomiga",3
"256","Tonggol",7
"257","Totoke",78
"258","Tubbal Boa",1
"259","Tuna Bambulo",2
"260","Turisan",9
"261","Ulapai",632
"262","Ulapai Bataan",6
"263","Ulapai Coklat",1
"264","Ulapai Mira",1
"265","Ulapai Patoh",11
"266","Ururuh",3
