"","Var1","Freq"
"130","Lambe",151
"131","Lampa",128
"132","Lampa Dosa",1
"133","Lampa Loong",14
"134","Lampa Mira",61
"135","Lampa Pello",2
"136","Lampa Sirah Mira",11
"137","Lampa Ungko Mira",1
"138","Lamudo",1
"139","Langkoe",6
"140","Langoang",70
"141","Lansura",21
"142","Lausu",100
"143","Lausu Kutu",1
"144","Lausu Langkau Boa",2
"145","Lausu Tubbal Boa",2
"146","Leppe Kuneh Boa",2
"147","Luppe",48
"148","Luppe Bitikan",1
"149","Luppe Bitti",2
"150","Luppe Hias",1
"151","Luppe Kunih",11
"152","Luppe Sirah",6
"153","Luppe Tubbal Boa",6
"154","Malelah",72
"155","Mangali",1
"156","Mangilala",1072
"157","Mangilala Kuneh",51
"158","Mogoh",170
"159","Mogoh Angke",19
"160","Mogoh Bataan",105
"161","Mogoh Batu",9
"162","Mogoh Birrah",46
"163","Mogoh Birro",2
"164","Mogoh Borra",27
"165","Mogoh Coklat",81
"166","Mogoh Hangilo",5
"167","Mogoh Hanyulu",15
"168","Mogoh Hijau",13
"169","Mogoh Kunih",12
"170","Mogoh Loong",94
"171","Mogoh Mira",11
"172","Mogoh Mondo",224
"173","Mogoh Mondo Bitte",1
"174","Mogoh Nyulloh",478
"175","Mogoh Nyuluh",10
"176","Mogoh Pote",1
"177","Mogoh Sirah Pote",3
"178","Opa",8
"179","Palugandah",19
"180","Pangaluang",52
"181","Papalo",25
"182","Pello",6
"183","Pello Gusoh",2
"184","Pello Koncang",1
"185","Pello Lampa",2
"186","Pello Langkau Boa",3
"187","Pello Mira",1
"188","Pello Nyuluh",2
"189","Pello Pungsu",8
"190","Pello Sirah",5
"191","Pello Sirah Pote",6
"192","Pello Sirip Kunih",2
"193","Pepedo",4
"194","Pesari",2
"195","Pilangan",11
"196","Pipili",72
"197","Pogo",28
"198","Pogo Epe",2
"199","Pogo Hitam",1
"200","Pogo Karupu",3
"201","Pogo Loong",30
"202","Pogo Mayor",12
"203","Pogo Mira",5
"204","Pogo Ngisirah",9
"205","Pogo Pote",24
"206","Pogo Punsu",2
"207","Pogo Sirah",4
"208","Pogo Tarusan",27
"209","Popogo",1
"210","Rambeng",48
"211","Rambeng Ungko Kuneh",5
"212","Ruruma",32
"213","Sampeh Lea",4
"214","Sasageh",24
"215","Sasageh Kuneh",1
"216","Sualalah",94
"217","Sulai Asah",10
"218","Sulaiasah Zebra",1
"219","Sumpa",29
"220","Sumpa Bannah",8
"221","Sumpah Lelah",3
"222","Sunu",24
"223","Sunu Balia",1
"224","Sunu Cambah",88
"225","Sunu Cambah Loong",7
"226","Sunu Coklat",7
"227","Sunu Hitam",1
"228","Sunu Loong",51
"229","Sunu Mira",36
"230","Sunu Tallah",16
"231","Taboh",5
"232","Taburoh",185
"233","Talunsu",1
"234","Tambiro",111
"235","Tambiro Alus",1
"236","Tape",6
"237","Tarigongoh",9
"238","Taringan",71
"239","Taringan Loong",2
"240","Tatape",25
"241","Tatape Bulan",1
"242","Tatape Buna",113
"243","Tatape Dodoh",5
"244","Tatape Kuneh",1
"245","Tatape Sirah",1
"246","Tatatape",1
"247","Tibbo",41
"248","Tibo Pote",1
"249","Timbaloah",23
"250","Timbungan",916
"251","Timbungan Garas",2
"252","Timbungan Janggutan",9
"253","Timbungan Mira",2
"254","Timbungan Rambayan",5
"255","Timbungan Sanio",6
"256","Timbungan Sirah",3
"257","Tintah",540
"258","Tintah Tarusan",20
"259","Tittingan",1
"260","Tomiga",3
"261","Tonggol",7
"262","Totoke",78
"263","Tubbal Boa",1
"264","Tuna Bambulo",2
"265","Turisan",9
"266","Ulapai",632
"267","Ulapai Bataan",6
"268","Ulapai Coklat",1
"269","Ulapai Mira",1
"270","Ulapai Patoh",11
"271","Ururuh",3
