"","Var1","Freq"
"130","Lambe",151
"131","Lampa",128
"132","Lampa Dosa",1
"133","Lampa Loong",14
"134","Lampa Mira",61
"135","Lampa Pello",2
"136","Lampa Sirah Mira",11
"137","Lampa Ungko Mira",1
"138","Lamudo",1
"139","Langkoe",6
"140","Langoang",4
"141","Langoangg",66
"142","Lansura",21
"143","Lausu",100
"144","Lausu Kutu",1
"145","Lausu Langkau Boa",2
"146","Lausu Tubbal Boa",2
"147","Leppe Kuneh Boa",2
"148","Luppe",48
"149","Luppe Bitikan",1
"150","Luppe Bitti",2
"151","Luppe Hias",1
"152","Luppe Kunih",11
"153","Luppe Sirah",6
"154","Luppe Tubbal Boa",6
"155","Malelah",72
"156","Mangali",1
"157","Mangilala",1072
"158","Mangilala Kuneh",51
"159","Mogoh",170
"160","Mogoh Angke",19
"161","Mogoh Bataan",105
"162","Mogoh Batu",9
"163","Mogoh Birrah",46
"164","Mogoh Birro",2
"165","Mogoh Borra",27
"166","Mogoh Coklat",81
"167","Mogoh Hangilo",5
"168","Mogoh Hanyulu",15
"169","Mogoh Hijau",13
"170","Mogoh Kunih",12
"171","Mogoh Loong",94
"172","Mogoh Mira",11
"173","Mogoh Mondo",224
"174","Mogoh Mondo Bitte",1
"175","Mogoh Nyulloh",478
"176","Mogoh Nyuluh",10
"177","Mogoh Pote",1
"178","Mogoh Sirah Pote",3
"179","Opa",8
"180","Palugandah",19
"181","Pangaluang",52
"182","Papalo",25
"183","Pello",6
"184","Pello Gusoh",2
"185","Pello Koncang",1
"186","Pello Lampa",2
"187","Pello Langkau Boa",3
"188","Pello Mira",1
"189","Pello Nyuluh",2
"190","Pello Pungsu",8
"191","Pello Sirah",5
"192","Pello Sirah Pote",6
"193","Pello Sirip Kunih",2
"194","Pepedo",4
"195","Pesari",2
"196","Pilangan",11
"197","Pipili",72
"198","Pogo",28
"199","Pogo Epe",2
"200","Pogo Hitam",1
"201","Pogo Karupu",3
"202","Pogo Loong",30
"203","Pogo Mayor",12
"204","Pogo Mira",5
"205","Pogo Ngisirah",9
"206","Pogo Pote",24
"207","Pogo Punsu",2
"208","Pogo Sirah",4
"209","Pogo Tarusan",27
"210","Popogo",1
"211","Rambeng",21
"212","Rambeng Ungko Kuneh",5
"213","Rambengg",27
"214","Ruruma",32
"215","Sampeh Lea",4
"216","Sasageh",24
"217","Sasageh Kuneh",1
"218","Sualalah",30
"219","Sualalahh",64
"220","Sulai Asah",10
"221","Sulaiasah Zebra",1
"222","Sumpa",29
"223","Sumpa Bannah",8
"224","Sumpah Lelah",3
"225","Sunu",24
"226","Sunu Balia",1
"227","Sunu Cambah",88
"228","Sunu Cambah Loong",7
"229","Sunu Coklat",7
"230","Sunu Hitam",1
"231","Sunu Loong",51
"232","Sunu Mira",36
"233","Sunu Tallah",16
"234","Taboh",5
"235","Taburoh",185
"236","Talunsu",1
"237","Tambiro",111
"238","Tambiro Alus",1
"239","Tape",6
"240","Tarigongoh",9
"241","Taringan",71
"242","Taringan Loong",2
"243","Tatape",25
"244","Tatape Bulan",1
"245","Tatape Buna",113
"246","Tatape Dodoh",5
"247","Tatape Kuneh",1
"248","Tatape Sirah",1
"249","Tatatape",1
"250","Tibbo",41
"251","Tibo Pote",1
"252","Timbaloah",23
"253","Timbungan",916
"254","Timbungan Garas",2
"255","Timbungan Janggutan",9
"256","Timbungan Mira",2
"257","Timbungan Rambayan",5
"258","Timbungan Sanio",6
"259","Timbungan Sirah",3
"260","Tintah",540
"261","Tintah Tarusan",20
"262","Tittingan",1
"263","Tomiga",3
"264","Tonggol",7
"265","Totoke",78
"266","Tubbal Boa",1
"267","Tuna Bambulo",2
"268","Turisan",9
"269","Ulapai",632
"270","Ulapai Bataan",6
"271","Ulapai Coklat",1
"272","Ulapai Mira",1
"273","Ulapai Patoh",11
"274","Ururuh",3
